idx,n_sentences,uncertainty,factuality
5549,4,0.5091802798720891,0.125
38830,12,0.57140025880441,0.041666666666666664
63405,8,0.665589167388498,0.5625
35763,8,0.5531598449170361,0.3125
19892,7,0.570005610631087,0.0
21429,9,0.5330804385009842,0.7777777777777778
5045,10,0.7244426121196192,0.35
34231,8,0.7155213890650088,1.0
61367,8,0.46240261409961936,0.0
3513,10,0.768940528816529,0.45
13750,5,0.9296552714662403,0.9
46523,10,0.741988923651461,1.0
31676,8,0.8520569944693079,0.8125
36283,9,0.9315660395312344,0.6666666666666666
12733,8,0.5049521466273348,0.4375
41409,8,0.6494484755758094,0.1875
16835,7,0.563952241190834,0.5714285714285714
14278,10,0.7479627138939168,0.45
28103,5,0.645436644535348,0.6
54727,10,0.7288509074877538,0.35
20426,8,0.7134641597510694,0.6875
22475,9,0.8050286334340828,1.0
1484,12,0.7640011897265064,0.4166666666666667
38350,4,0.32828831190327035,0.0
4048,10,0.5891343154352716,0.3
39380,9,0.654033916622494,0.6666666666666666
71127,10,0.6247319688111974,0.55
71641,7,0.32232106107697156,0.07142857142857142
37338,5,0.6129505091618921,0.4
10714,10,0.6714506466907597,0.25
52703,8,0.711601693417046,0.375
18912,10,0.7314045385297823,0.55
70625,9,0.6128752008098571,1.0
44003,9,0.8472238028212915,0.5555555555555556
12773,6,0.8645784986274976,0.9166666666666666
15337,9,0.6610149488977817,0.3333333333333333
25585,7,0.8443242599879632,0.8571428571428571
10740,5,0.2650882900727447,0.0
41463,10,0.863824241431621,0.85
57341,10,0.8152327732813398,1.0
66046,9,0.6902874724854832,0.5555555555555556
